Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2000-12-21,1.619378924369812,1.6346851916342684,1.5398593389519617,1.5400403501130269,74224
2000-12-22,1.549188494682312,1.6030770189783021,1.5396786246891312,1.6030770189783021,23312
2000-12-25,1.549188494682312,1.549188494682312,1.549188494682312,1.549188494682312,0
2000-12-26,1.5487357378005981,1.5505467628317469,1.5260931648900975,1.540674739800645,7851
2000-12-27,1.601265788078308,1.6012657880783079,1.5487355066796087,1.5759058337306042,26996
2000-12-28,1.6755335330963135,1.7117614917070803,1.566759934064972,1.5922100238024721,77425
2000-12-29,1.6755335330963135,1.6755335330963137,1.6755335330963137,1.6755335330963137,0
2001-01-01,1.6755335330963135,1.6755335330963137,1.6755335330963137,1.6755335330963137,0
2001-01-02,1.6211907863616943,1.6301569692005071,1.5894912683598805,1.5895820347737941,47010786
2001-01-03,1.684680461883545,1.7208176341570156,1.6121342092446436,1.6211912917322295,67061636
2001-01-04,1.7117598056793213,1.7208168842198048,1.6935556646646903,1.6935556646646903,82788266
2001-01-05,1.7207268476486206,1.766102116557662,1.6664757677441189,1.6664757677441189,81568305
2001-01-08,1.6845892667770386,1.7208173294901752,1.6845892667770384,1.7027032981336068,32069280
2001-01-09,1.6918367147445679,1.7389327952529021,1.6845907826938498,1.7027048303507502,121066062
2001-01-10,1.707230567932129,1.711758974592257,1.6844977682729056,1.6927392493031281,110207199
2001-01-11,1.7117598056793213,1.7208168842198048,1.6755318827518808,1.7198208011975986,61589928
2001-01-12,1.6847707033157349,1.7117605482517433,1.6664756575504487,1.7117605482517433,49788916
2001-01-15,1.7027034759521484,1.7027034759521484,1.6664755398671494,1.6664755398671494,7959945
2001-01-16,1.7117598056793213,1.7208168842198048,1.69364590942135,1.7027028575503356,26138577
2001-01-17,1.7253470420837402,1.7389325432547547,1.6981760397417114,1.7117615409127258,52977726
2001-01-18,1.7842172384262085,1.7842172384262087,1.7253473320457398,1.7253473320457398,141660459
2001-01-19,1.8204435110092163,1.8476138386423655,1.7751585013874474,1.7841252063742836,112526333
2001-01-22,1.757045030593872,1.8204439552047187,1.745271084321379,1.8204439552047187,39666861
2001-01-23,1.7408339977264404,1.7751595032737002,1.7408339977264402,1.7570455935308598,95181141
2001-01-24,1.6926507949829102,1.7661022442450494,1.6926507949829102,1.7661022442450494,72183058
2001-01-25,1.6926507949829102,1.6926507949829102,1.6926507949829102,1.6926507949829102,0
2001-01-26,1.7389330863952637,1.7570466154382407,1.6935579104122886,1.6936481552886178,105025383
2001-01-29,1.7117598056793213,1.7479877286067613,1.7072313968205775,1.7479877286067613,78053367
2001-01-30,1.6845892667770386,1.7298742799626934,1.6845892667770384,1.7298742799626934,150043164
2001-01-31,1.6891188621520996,1.6981758182811069,1.666476406623775,1.6936474054224098,106813049
2001-02-01,1.6574194431304932,1.7090439070533783,1.648452734699829,1.7090439070533783,58763483
2001-02-02,1.6664761304855347,1.6664761304855347,1.634777245727221,1.6574196975036486,33832788
2001-02-05,1.6257199048995972,1.6574194367283235,1.6211914935037586,1.6574194367283235,11958036
2001-02-06,1.6438347101211548,1.643834710121155,1.6302492087600124,1.6393061661968966,36043213
2001-02-07,1.6121352910995483,1.6392155294697115,1.6030783329456686,1.6392155294697115,61444982
2001-02-08,1.6572376489639282,1.680061237136255,1.6293424855828522,1.6293424855828522,54137293
2001-02-09,1.6302478313446045,1.6664752392482862,1.6302478313446047,1.6664752392482862,36622997
2001-02-12,1.6347761154174805,1.639757443539431,1.6302475760286612,1.6304285871927127,37589303
2001-02-13,1.6574194431304932,1.6574194431304932,1.6483623594806884,1.6483623594806884,127214184
2001-02-14,1.6800616979599,1.7027041506841247,1.6302487714483551,1.648362681463096,92101040
2001-02-15,1.6800616979599,1.6936471956767543,1.6800616979599,1.6845901102577867,34472966
2001-02-16,1.5944725275039673,1.6845888287225979,1.575000395518616,1.6845888287225979,60526992
2001-02-19,1.5849629640579224,1.6302479778740695,1.5849629640579224,1.6302479778740695,45694194
2001-02-20,1.5577936172485352,1.607606550955963,1.512508574846696,1.5895832743976015,67593104
2001-02-21,1.539859652519226,1.6121338505749525,1.5305307944267321,1.5849628699803406,107042547
2001-02-22,1.5804352760314941,1.5804352760314941,1.5487363908941625,1.5487363908941625,137130900
2001-02-23,1.6122244596481323,1.6755319411192076,1.5759056386413721,1.584872342326054,130982778
2001-02-26,1.6122244596481323,1.6122244596481323,1.6122244596481323,1.6122244596481323,0
2001-02-27,1.6122244596481323,1.6122244596481323,1.6122244596481323,1.6122244596481323,0
2001-02-28,1.5442081689834595,1.6076066044811246,1.5405854645835229,1.6076066044811246,77401110
2001-03-01,1.5895823240280151,1.6121340000553737,1.5532641452289666,1.5577926858851396,108914765
2001-03-02,1.639215111732483,1.639305878212471,1.5759069264686028,1.6121348802634403,140392182
2001-03-05,1.6211907863616943,1.6574187137841145,1.6030767574447273,1.630247735614421,85216110
