Date,Close_B3SA3,Volume_B3SA3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2023-09-05,11.973868370056152,34042400,4.9705,86.69000244140625,117331.0,55.72749328613281
2023-09-06,11.75820541381836,27071200,4.9762,87.54000091552734,115985.0,55.64838409423828
2023-09-08,11.75820541381836,31896700,4.9835,87.51000213623047,115313.0,53.81131362915039
2023-09-11,12.105138778686523,32550700,4.9366,87.29000091552734,116883.0,55.622013092041016
2023-09-12,12.339553833007812,29782800,4.9505,88.83999633789062,117968.0,55.542903900146484
2023-09-13,12.386436462402344,28936200,4.9171,88.5199966430664,118176.0,55.472591400146484
2023-09-14,12.470824241638184,27146800,4.8751,90.16000366210938,119392.0,58.039215087890625
2023-09-15,12.377059936523438,36593100,4.8689,90.7699966430664,118758.0,57.88100051879883
2023-09-18,12.264541625976562,15670500,4.8535,91.4800033569336,118288.0,57.371185302734375
2023-09-19,12.114516258239746,21640500,4.8575,91.19999694824219,117846.0,57.4942512512207
2023-09-20,12.311423301696777,30619100,4.8487,90.27999877929688,118695.0,57.59093475341797
2023-09-21,11.80509090423584,40628500,4.9229,89.62999725341797,116145.0,56.02634811401367
2023-09-22,11.659193992614746,29941600,4.9131,90.02999877929688,116009.0,56.31641387939453
2023-09-25,11.668649673461914,30433600,4.9606,89.68000030517578,115925.0,55.43742752075195
2023-09-26,11.413337707519531,51265700,4.9717,90.38999938964844,114193.0,54.505706787109375
2023-09-27,11.375514030456543,44300700,5.0289,93.68000030517578,114327.0,54.778194427490234
2023-09-28,11.545723915100098,31834700,5.0475,91.70999908447266,115731.0,56.07029724121094
2023-09-29,11.621368408203125,23002700,5.0076,90.79000091552734,116565.0,55.93844985961914
2023-10-02,11.347146034240723,26431000,5.0679,88.81999969482422,115057.0,55.11220932006836
2023-10-03,10.864893913269043,51682100,5.11,89.2300033569336,113419.0,53.96073532104492
2023-10-04,11.214762687683105,32895300,5.1526,84.22000122070312,113607.0,53.160865783691406
2023-10-05,11.091835975646973,25192200,5.1713,82.30999755859375,113284.0,53.53003692626953
2023-10-06,11.195852279663086,52568200,5.1918,82.79000091552734,114170.0,54.496917724609375
2023-10-09,11.139115333557129,34445400,5.1666,86.37999725341797,115156.0,53.872840881347656
2023-10-10,11.394426345825195,43373800,5.0862,85.97000122070312,116737.0,54.9539909362793
2023-10-11,11.375514030456543,25967000,5.0496,83.48999786376953,117051.0,55.34074020385742
2023-10-13,10.968910217285156,31360700,5.0625,87.69000244140625,115754.0,54.8309326171875
2023-10-16,11.101292610168457,18822000,5.0618,86.66000366210938,116534.0,56.3779411315918
2023-10-17,10.656861305236816,78125700,5.0384,86.66000366210938,115908.0,56.580108642578125
2023-10-18,10.5244779586792,71398700,5.0568,88.31999969482422,114060.0,54.8660888671875
2023-10-19,10.401551246643066,45432400,5.054,89.37000274658203,114004.0,54.409019470214844
2023-10-20,10.543389320373535,40978900,5.0528,88.75,113155.0,53.23118209838867
2023-10-23,10.694684982299805,29667800,5.0164,85.48999786376953,112785.0,53.05538558959961
2023-10-24,10.968910217285156,54908300,5.0065,83.73999786376953,113762.0,54.8660888671875
2023-10-25,10.912172317504883,71753900,4.9981,85.38999938964844,112830.0,55.472591400146484
2023-10-26,11.091835975646973,45057800,5.0055,83.20999908447266,114777.0,55.455013275146484
2023-10-27,10.590670585632324,39597000,4.948,85.54000091552734,113301.0,56.035133361816406
2023-10-30,10.477198600769043,39671100,5.0074,82.30999755859375,112532.0,56.4394645690918
2023-10-31,10.496110916137695,37086000,5.0575,81.0199966430664,113144.0,56.55373001098633
2023-11-01,10.921628952026367,44636800,5.0194,80.44000244140625,115053.0,57.204185485839844
2023-11-03,11.545723915100098,66501900,4.891,80.51000213623047,118160.0,58.276546478271484
2023-11-06,11.574090003967285,33391600,4.8999,80.81999969482422,118487.0,58.61055374145508
2023-11-07,11.782120704650879,48835200,4.867,77.37000274658203,119268.0,56.87017059326172
2023-11-08,11.791577339172363,28362600,4.8855,75.33000183105469,119099.0,56.773475646972656
2023-11-09,11.687561988830566,25942900,4.9007,75.73999786376953,119012.0,56.65921401977539
2023-11-10,12.254919052124023,36346300,4.9219,77.16999816894531,120636.0,57.5381965637207
2023-11-13,11.753753662109375,42165300,4.9247,78.26000213623047,120376.0,57.6436767578125
2023-11-14,11.97123908996582,45235100,4.8682,78.26000213623047,123328.0,59.60380554199219
2023-11-16,12.217094421386719,39109300,4.8575,72.9000015258789,124576.0,59.463172912597656
2023-11-17,12.037431716918945,44472400,4.8849,75.88999938964844,125062.0,59.93782043457031
2023-11-20,12.396758079528809,23900400,4.8723,77.5999984741211,126095.0,60.85196304321289
2023-11-21,12.141447067260742,25672000,4.8806,77.7699966430664,125607.0,61.73972702026367
2023-11-22,12.311654090881348,33864800,4.8968,77.0999984741211,126035.0,61.39693069458008
2023-11-24,12.217094421386719,20559200,4.8927,75.54000091552734,125542.0,61.28266143798828
2023-11-27,12.217094421386719,27004700,4.8951,74.86000061035156,125683.0,60.67616653442383
2023-11-28,12.500773429870605,35096600,4.8867,76.41000366210938,126538.0,61.02775955200195
2023-11-29,12.529141426086426,57656100,4.8933,77.86000061035156,126101.0,60.53553009033203
2023-11-30,12.576420783996582,43356300,4.9355,75.95999908447266,127331.0,60.72890090942383
2023-12-01,12.793907165527344,28188700,4.9191,74.06999969482422,128103.0,62.54840087890625
2023-12-04,12.803363800048828,45646100,4.9091,73.04000091552734,126803.0,60.69375228881836
2023-12-05,12.718259811401367,40133100,4.9522,72.31999969482422,126903.0,60.201515197753906
2023-12-06,12.510228157043457,41140900,4.9031,69.37999725341797,125623.0,60.64100646972656
2023-12-07,12.566965103149414,19636000,4.8949,69.33999633789062,126010.0,61.91553497314453
2023-12-08,12.803363800048828,31813900,4.9158,71.2300033569336,127094.0,61.6782112121582
2023-12-11,13.17214584350586,39856100,4.944,71.31999969482422,126916.0,60.78164291381836
2023-12-12,13.0964994430542,44275900,4.9476,68.61000061035156,126403.0,61.03654861450195
2023-12-13,13.644943237304688,64190500,4.958,69.47000122070312,129465.0,61.933109283447266
2023-12-14,14.02318286895752,69818600,4.8912,71.58000183105469,130842.0,63.4449577331543
2023-12-15,13.87188720703125,52175400,4.9397,71.43000030517578,130197.0,63.68227767944336
2023-12-18,13.938078880310059,22756700,4.9399,72.47000122070312,131084.0,64.01630401611328
2023-12-19,13.758413314819336,30892100,4.8663,73.44000244140625,131851.0,64.86012268066406
2023-12-20,13.399088859558105,34277600,4.8766,74.22000122070312,130804.0,63.69107437133789
2023-12-21,13.701681137084961,29293900,4.8755,73.88999938964844,132182.0,65.04471588134766
2023-12-22,13.72059154510498,28239600,4.8619,73.55999755859375,132753.0,64.89527893066406
2023-12-26,13.862430572509766,10881600,4.8368,75.56999969482422,133533.0,65.20292663574219
2023-12-27,13.786783218383789,16243800,4.8306,74.11000061035156,134194.0,65.72151947021484
2023-12-28,13.758413314819336,20491200,4.8413,71.7699966430664,134185.0,65.51936340332031
2024-01-02,13.492300987243652,30729000,4.8916,70.37999725341797,132697.0,65.27324676513672
2024-01-03,13.454215049743652,43928000,4.9212,72.69999694824219,132834.0,64.649169921875
2024-01-04,13.063822746276855,41789500,4.9188,72.19000244140625,131226.0,64.20088958740234
2024-01-05,13.301865577697754,39303900,4.8899,73.80999755859375,132023.0,63.84928512573242
2024-01-08,13.597040176391602,27469900,4.885,70.7699966430664,132427.0,64.02509307861328
2024-01-09,13.387560844421387,30342700,4.8937,72.23999786376953,131447.0,62.28470230102539
2024-01-10,13.254257202148438,20165800,4.8901,71.37000274658203,130841.0,61.80126190185547
2024-01-11,13.282824516296387,23289000,4.8794,72.0199966430664,130649.0,61.581512451171875
2024-01-12,13.42564868927002,24421600,4.8543,72.68000030517578,130988.0,61.68699264526367
2024-01-16,13.31138801574707,36138100,4.9038,72.4000015258789,129294.0,60.72890090942383
2024-01-17,13.073343276977539,26273900,4.9346,72.55999755859375,128524.0,59.94660568237305
2024-01-18,13.187605857849121,30560300,4.9403,74.08000183105469,127316.0,60.799224853515625
2024-01-19,13.130474090576172,36625000,4.9223,73.41000366210938,127636.0,60.430049896240234
