Date,Close_ELET3,Volume_ELET3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2023-09-05,31.69611930847168,9380400,4.9705,86.69000244140625,117331.0,55.72749710083008
2023-09-06,31.015361785888672,8307800,4.9762,87.54000091552734,115985.0,55.64838790893555
2023-09-08,31.1968994140625,8019300,4.9835,87.51000213623047,115313.0,53.81131362915039
2023-09-11,31.904890060424805,6593700,4.9366,87.29000091552734,116883.0,55.62201690673828
2023-09-12,32.5674934387207,6381000,4.9505,88.83999633789062,117968.0,55.542903900146484
2023-09-13,33.08487319946289,16799900,4.9171,88.5199966430664,118176.0,55.472591400146484
2023-09-14,33.18471908569336,6049700,4.8751,90.16000366210938,119392.0,58.03921890258789
2023-09-15,32.44042205810547,9574000,4.8689,90.7699966430664,118758.0,57.88099670410156
2023-09-18,32.3133430480957,4112500,4.8535,91.4800033569336,118288.0,57.37118911743164
2023-09-19,32.15904235839844,5249600,4.8575,91.19999694824219,117846.0,57.4942512512207
2023-09-20,32.78533935546875,4854400,4.8487,90.27999877929688,118695.0,57.59093475341797
2023-09-21,31.72335433959961,9050300,4.9229,89.62999725341797,116145.0,56.02635192871094
2023-09-22,32.004730224609375,6557600,4.9131,90.02999877929688,116009.0,56.31641387939453
2023-09-25,32.55841827392578,6626900,4.9606,89.68000030517578,115925.0,55.43743133544922
2023-09-26,32.85795211791992,17520300,4.9717,90.38999938964844,114193.0,54.50570297241211
2023-09-27,32.13180923461914,9902300,5.0289,93.68000030517578,114327.0,54.77819061279297
2023-09-28,32.93964385986328,8945000,5.0475,91.70999908447266,115731.0,56.07029724121094
2023-09-29,33.4842529296875,7996700,5.0076,90.79000091552734,116565.0,55.93844985961914
2023-10-02,32.87610626220703,3539200,5.0679,88.81999969482422,115057.0,55.112205505371094
2023-10-03,32.04104232788086,7583000,5.11,89.2300033569336,113419.0,53.96073532104492
2023-10-04,32.13180923461914,4736400,5.1526,84.22000122070312,113607.0,53.16086196899414
2023-10-05,31.69611930847168,8262300,5.1713,82.30999755859375,113284.0,53.53003692626953
2023-10-06,31.587202072143555,8779000,5.1918,82.79000091552734,114170.0,54.496917724609375
2023-10-09,32.17719650268555,5007400,5.1666,86.37999725341797,115156.0,53.872840881347656
2023-10-10,32.921485900878906,6033800,5.0862,85.97000122070312,116737.0,54.9539909362793
2023-10-11,33.15748596191406,3738400,5.0496,83.48999786376953,117051.0,55.340736389160156
2023-10-13,32.104576110839844,5078900,5.0625,87.69000244140625,115754.0,54.8309326171875
2023-10-16,32.32242202758789,3925400,5.0618,86.66000366210938,116534.0,56.3779411315918
2023-10-17,31.687049865722656,5550400,5.0384,86.66000366210938,115908.0,56.580108642578125
2023-10-18,30.652294158935547,9038800,5.0568,88.31999969482422,114060.0,54.8660888671875
2023-10-19,30.6886043548584,7731800,5.054,89.37000274658203,114004.0,54.40902328491211
2023-10-20,30.96090316772461,8102000,5.0528,88.75,113155.0,53.23118591308594
2023-10-23,31.024442672729492,8163500,5.0164,85.48999786376953,112785.0,53.05538558959961
2023-10-24,31.41474723815918,4192500,5.0065,83.73999786376953,113762.0,54.8660888671875
2023-10-25,31.13336181640625,5491800,4.9981,85.38999938964844,112830.0,55.472591400146484
2023-10-26,31.877655029296875,4795900,5.0055,83.20999908447266,114777.0,55.45500946044922
2023-10-27,31.178743362426758,8203900,4.948,85.54000091552734,113301.0,56.03513717651367
2023-10-30,31.178743362426758,6181600,5.0074,82.30999755859375,112532.0,56.4394645690918
2023-10-31,31.623510360717773,3875600,5.0575,81.0199966430664,113144.0,56.553733825683594
2023-11-01,32.71272277832031,8905800,5.0194,80.44000244140625,115053.0,57.20418930053711
2023-11-03,33.493324279785156,5860700,4.891,80.51000213623047,118160.0,58.27654266357422
2023-11-06,33.6657829284668,5449500,4.8999,80.81999969482422,118487.0,58.610557556152344
2023-11-07,34.228546142578125,12988700,4.867,77.37000274658203,119268.0,56.87016677856445
2023-11-08,34.074241638183594,9680600,4.8855,75.33000183105469,119099.0,56.77347946166992
2023-11-09,33.83824157714844,5715200,4.9007,75.73999786376953,119012.0,56.65921401977539
2023-11-10,33.90178298950195,8666200,4.9219,77.16999816894531,120636.0,57.53819274902344
2023-11-13,34.655155181884766,8907300,4.9247,78.26000213623047,120376.0,57.6436767578125
2023-11-14,35.8260612487793,12645400,4.8682,78.26000213623047,123328.0,59.60380935668945
2023-11-16,36.95158004760742,12225700,4.8575,72.9000015258789,124576.0,59.463165283203125
2023-11-17,36.67927551269531,8570300,4.8849,75.88999938964844,125062.0,59.93782424926758
2023-11-20,37.01511764526367,5394300,4.8723,77.5999984741211,126095.0,60.851966857910156
2023-11-21,36.26174545288086,7571300,4.8806,77.7699966430664,125607.0,61.73973846435547
2023-11-22,36.7155876159668,12745200,4.8968,77.0999984741211,126035.0,61.396934509277344
2023-11-24,36.751888275146484,4892300,4.8927,75.54000091552734,125542.0,61.28266525268555
2023-11-27,37.48711013793945,7594200,4.8951,74.86000061035156,125683.0,60.67616271972656
2023-11-28,37.232967376708984,4784800,4.8867,76.41000366210938,126538.0,61.02775573730469
2023-11-29,36.97880935668945,5095200,4.8933,77.86000061035156,126101.0,60.535526275634766
2023-11-30,37.08773422241211,8643400,4.9355,75.95999908447266,127331.0,60.72889709472656
2023-12-01,37.223880767822266,6252000,4.9191,74.06999969482422,128103.0,62.54840087890625
2023-12-04,36.97880935668945,3904900,4.9091,73.04000091552734,126803.0,60.693748474121094
2023-12-05,37.623260498046875,8120800,4.9522,72.31999969482422,126903.0,60.20151138305664
2023-12-06,37.55972671508789,3695000,4.9031,69.37999725341797,125623.0,60.64100646972656
2023-12-07,37.69587326049805,2801500,4.8949,69.33999633789062,126010.0,61.915531158447266
2023-12-08,37.12403869628906,5636300,4.9158,71.2300033569336,127094.0,61.67820358276367
2023-12-11,37.08773422241211,4638600,4.944,71.31999969482422,126916.0,60.781646728515625
2023-12-12,36.87896728515625,4128500,4.9476,68.61000061035156,126403.0,61.03654861450195
2023-12-13,37.95002365112305,8823800,4.958,69.47000122070312,129465.0,61.933109283447266
2023-12-14,37.795719146728516,8626900,4.8912,71.58000183105469,130842.0,63.44496154785156
2023-12-15,37.01511764526367,8545900,4.9397,71.43000030517578,130197.0,63.68228530883789
2023-12-18,37.723106384277344,7237900,4.9399,72.47000122070312,131084.0,64.01630401611328
2023-12-19,38.03171920776367,5161800,4.8663,73.44000244140625,131851.0,64.86012268066406
2023-12-20,37.40542221069336,8863400,4.8766,74.22000122070312,130804.0,63.69107437133789
2023-12-21,37.7594108581543,3979000,4.8755,73.88999938964844,132182.0,65.0447006225586
2023-12-22,38.095252990722656,4188000,4.8619,73.55999755859375,132753.0,64.8952865600586
2023-12-26,38.20417785644531,2480500,4.8368,75.56999969482422,133533.0,65.20292663574219
2023-12-27,38.33125686645508,2256100,4.8306,74.11000061035156,134194.0,65.72151947021484
2023-12-28,38.512786865234375,4525600,4.8413,71.7699966430664,134185.0,65.51936340332031
2024-01-02,37.88648986816406,3568400,4.8916,70.37999725341797,132697.0,65.27324676513672
2024-01-03,37.84110641479492,3762800,4.9212,72.69999694824219,132834.0,64.649169921875
2024-01-04,37.514339447021484,3017000,4.9188,72.19000244140625,131226.0,64.20088958740234
2024-01-05,37.45079803466797,3085000,4.8899,73.80999755859375,132023.0,63.84928894042969
2024-01-08,37.26926803588867,3643100,4.885,70.7699966430664,132427.0,64.02508544921875
2024-01-09,37.83203125,5202800,4.8937,72.23999786376953,131447.0,62.28470230102539
2024-01-10,38.812320709228516,6540600,4.8901,71.37000274658203,130841.0,61.80126953125
2024-01-11,39.22077560424805,10569600,4.8794,72.0199966430664,130649.0,61.581512451171875
2024-01-12,38.96662521362305,3974800,4.8543,72.68000030517578,130988.0,61.686988830566406
2024-01-16,38.14064025878906,8876500,4.9038,72.4000015258789,129294.0,60.72889709472656
2024-01-17,38.14064025878906,5656000,4.9346,72.55999755859375,128524.0,59.94660949707031
2024-01-18,37.25111389160156,4940400,4.9403,74.08000183105469,127316.0,60.799224853515625
2024-01-19,37.85926055908203,7253200,4.9223,73.41000366210938,127636.0,60.43004608154297
2024-01-22,37.01511764526367,7652200,4.949,75.19000244140625,126602.0,59.137943267822266
2024-01-23,37.242034912109375,8835500,4.9715,74.37000274658203,128263.0,60.4212532043457
2024-01-24,37.278343200683594,6091500,4.9192,75.08999633789062,127816.0,61.133243560791016
2024-01-25,37.33280563354492,3308900,4.9232,77.36000061035156,128169.0,61.616676330566406
2024-01-26,37.08773422241211,2678800,4.9125,78.01000213623047,128967.0,62.205589294433594
2024-01-29,37.096805572509766,4326000,4.9225,76.77999877929688,128503.0,62.45170974731445
2024-01-30,36.49774169921875,4522700,4.9638,77.81999969482422,127402.0,61.70457458496094
2024-01-31,37.04235076904297,7575900,4.9535,75.8499984741211,127752.0,60.887115478515625
2024-02-01,37.7594108581543,7985900,4.935,73.81999969482422,128481.0,61.63425064086914
2024-02-02,36.89712142944336,7050500,4.9471,72.27999877929688,127182.0,60.192726135253906
2024-02-05,37.06050491333008,4361500,5.0053,72.77999877929688,127593.0,59.33131790161133
2024-02-06,39.14816665649414,8967100,4.9687,73.30999755859375,130416.0,60.05208969116211
2024-02-07,39.2026252746582,7119300,4.9608,73.86000061035156,129608.0,60.227882385253906
2024-02-08,38.975704193115234,9381200,4.9804,76.22000122070312,128217.0,59.86750411987305
2024-02-09,39.61107635498047,10496500,4.9717,76.83999633789062,128026.0,59.70049285888672
2024-02-14,39.021087646484375,4615600,4.9723,76.63999938964844,127018.0,58.962154388427734
2024-02-15,38.921241760253906,15974700,4.971,78.02999877929688,127804.0,59.366485595703125
2024-02-16,38.576324462890625,5785400,4.9761,79.19000244140625,128726.0,60.755271911621094
2024-02-20,40.355369567871094,13474100,4.9408,78.18000030517578,129916.0,57.94252395629883
2024-02-21,39.574771881103516,7516800,4.9303,77.91000366210938,130032.0,57.55577850341797
2024-02-22,39.48400115966797,7850400,4.9419,78.61000061035156,130241.0,57.7403678894043
2024-02-23,39.1572380065918,6597300,4.9851,76.48999786376953,129419.0,57.99527359008789
2024-02-26,39.211700439453125,3294800,4.9819,77.58000183105469,129609.0,56.82622528076172
2024-02-27,40.04676055908203,5553500,4.9575,78.87000274658203,131689.0,57.11629104614258
2024-02-28,39.85614776611328,4903200,4.9557,78.54000091552734,130155.0,56.219722747802734
2024-02-29,39.48400115966797,5388800,4.9833,78.26000213623047,129020.0,56.72074508666992
2024-03-01,39.71091842651367,3473400,4.9596,79.97000122070312,129180.0,57.25692367553711
2024-03-04,39.574771881103516,4174800,4.9475,78.73999786376953,128341.0,57.002017974853516
