Date,Close_PETR4,Volume_PETR4,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2023-09-05,24.27357292175293,75082900,4.9705,86.69000244140625,117331.0,55.72749328613281
2023-09-06,24.38268280029297,57856500,4.9762,87.54000091552734,115985.0,55.64838409423828
2023-09-08,24.295392990112305,39074100,4.9835,87.51000213623047,115313.0,53.81131362915039
2023-09-11,24.27357292175293,30276200,4.9366,87.29000091552734,116883.0,55.622013092041016
2023-09-12,24.389955520629883,31963000,4.9505,88.83999633789062,117968.0,55.542903900146484
2023-09-13,24.0262508392334,47685700,4.9171,88.5199966430664,118176.0,55.472591400146484
2023-09-14,24.637271881103516,46502100,4.8751,90.16000366210938,119392.0,58.039215087890625
2023-09-15,24.65182113647461,54801500,4.8689,90.7699966430664,118758.0,57.88100051879883
2023-09-18,24.826406478881836,52363400,4.8535,91.4800033569336,118288.0,57.371185302734375
2023-09-19,24.88459587097168,43247200,4.8575,91.19999694824219,117846.0,57.4942512512207
2023-09-20,24.94278335571289,39102300,4.8487,90.27999877929688,118695.0,57.59093475341797
2023-09-21,24.557260513305664,60109400,4.9229,89.62999725341797,116145.0,56.02634811401367
2023-09-22,24.753658294677734,31020500,4.9131,90.02999877929688,116009.0,56.31641387939453
2023-09-25,24.913692474365234,26767200,4.9606,89.68000030517578,115925.0,55.43742752075195
2023-09-26,24.339038848876953,60687500,4.9717,90.38999938964844,114193.0,54.505706787109375
2023-09-27,25.11008644104004,53708700,5.0289,93.68000030517578,114327.0,54.778194427490234
2023-09-28,25.059173583984375,30765000,5.0475,91.70999908447266,115731.0,56.07029724121094
2023-09-29,25.197378158569336,40227600,5.0076,90.79000091552734,116565.0,55.93844985961914
2023-10-02,24.81912612915039,34403400,5.0679,88.81999969482422,115057.0,55.11220932006836
2023-10-03,24.71001625061035,37947300,5.11,89.2300033569336,113419.0,53.96073532104492
2023-10-04,23.728015899658203,88895900,5.1526,84.22000122070312,113607.0,53.160865783691406
2023-10-05,23.808034896850586,35342000,5.1713,82.30999755859375,113284.0,53.53003692626953
2023-10-06,24.375408172607422,48132800,5.1918,82.79000091552734,114170.0,54.496917724609375
2023-10-09,25.422876358032227,77528400,5.1666,86.37999725341797,115156.0,53.872840881347656
2023-10-10,25.61199951171875,48326500,5.0862,85.97000122070312,116737.0,54.9539909362793
2023-10-11,25.546533584594727,41578500,5.0496,83.48999786376953,117051.0,55.34074020385742
2023-10-13,26.39032745361328,66943700,5.0625,87.69000244140625,115754.0,54.8309326171875
2023-10-16,26.681289672851562,49626600,5.0618,86.66000366210938,116534.0,56.3779411315918
2023-10-17,27.40142250061035,68814800,5.0384,86.66000366210938,115908.0,56.580108642578125
2023-10-18,28.01972198486328,85931700,5.0568,88.31999969482422,114060.0,54.8660888671875
2023-10-19,27.888784408569336,56016600,5.054,89.37000274658203,114004.0,54.409019470214844
2023-10-20,27.5323543548584,66242400,5.0528,88.75,113155.0,53.23118209838867
2023-10-23,25.713834762573242,104499100,5.0164,85.48999786376953,112785.0,53.05538558959961
2023-10-24,26.099365234375,78634900,5.0065,83.73999786376953,113762.0,54.8660888671875
2023-10-25,26.237571716308594,32846500,4.9981,85.38999938964844,112830.0,55.472591400146484
2023-10-26,25.968429565429688,47858600,5.0055,83.20999908447266,114777.0,55.455013275146484
2023-10-27,25.7793025970459,45843100,4.948,85.54000091552734,113301.0,56.035133361816406
2023-10-30,25.517438888549805,31346900,5.0074,82.30999755859375,112532.0,56.4394645690918
2023-10-31,25.270122528076172,36965200,5.0575,81.0199966430664,113144.0,56.55373001098633
2023-11-01,25.546533584594727,46335300,5.0194,80.44000244140625,115053.0,57.204185485839844
2023-11-03,25.852048873901367,30959700,4.891,80.51000213623047,118160.0,58.276546478271484
2023-11-06,25.830224990844727,33583600,4.8999,80.81999969482422,118487.0,58.61055374145508
2023-11-07,25.401052474975586,48919900,4.867,77.37000274658203,119268.0,56.87017059326172
2023-11-08,24.85549545288086,59742900,4.8855,75.33000183105469,119099.0,56.773475646972656
2023-11-09,25.371957778930664,56231100,4.9007,75.73999786376953,119012.0,56.65921401977539
2023-11-10,25.255573272705078,40004800,4.9219,77.16999816894531,120636.0,57.5381965637207
2023-11-13,25.961156845092773,44120000,4.9247,78.26000213623047,120376.0,57.6436767578125
2023-11-14,26.317584991455078,50888600,4.8682,78.26000213623047,123328.0,59.60380554199219
2023-11-16,25.85931968688965,72361200,4.8575,72.9000015258789,124576.0,59.463172912597656
