Date,Close_ABEV3,Volume_ABEV3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2023-09-05,12.262733459472656,37047300,4.9705,86.69000244140625,117331.0,55.72749710083008
2023-09-06,12.23647403717041,26849800,4.9762,87.54000091552734,115985.0,55.64838790893555
2023-09-08,11.99139404296875,23119600,4.9835,87.51000213623047,115313.0,53.81131362915039
2023-09-11,12.140193939208984,14866900,4.9366,87.29000091552734,116883.0,55.62201690673828
2023-09-12,12.000147819519043,18024700,4.9505,88.83999633789062,117968.0,55.542903900146484
2023-09-13,11.938878059387207,32126800,4.9171,88.5199966430664,118176.0,55.472591400146484
2023-09-14,11.842596054077148,21983200,4.8751,90.16000366210938,119392.0,58.03921890258789
2023-09-15,11.746315002441406,39186700,4.8689,90.7699966430664,118758.0,57.88099670410156
2023-09-18,11.720056533813477,19997200,4.8535,91.4800033569336,118288.0,57.37118911743164
2023-09-19,11.7550687789917,25991300,4.8575,91.19999694824219,117846.0,57.4942512512207
2023-09-20,11.790080070495605,15729400,4.8487,90.27999877929688,118695.0,57.59093475341797
2023-09-21,11.588763236999512,29875400,4.9229,89.62999725341797,116145.0,56.02635192871094
2023-09-22,11.483729362487793,16325200,4.9131,90.02999877929688,116009.0,56.31641387939453
2023-09-25,11.571259498596191,20229100,4.9606,89.68000030517578,115925.0,55.43743133544922
2023-09-26,11.41370677947998,29094600,4.9717,90.38999938964844,114193.0,54.50570297241211
2023-09-27,11.352437973022461,32045700,5.0289,93.68000030517578,114327.0,54.77819061279297
2023-09-28,11.361189842224121,43949200,5.0475,91.70999908447266,115731.0,56.07029724121094
2023-09-29,11.474977493286133,22876500,5.0076,90.79000091552734,116565.0,55.93844985961914
2023-10-02,11.457469940185547,17955500,5.0679,88.81999969482422,115057.0,55.112205505371094
2023-10-03,11.42245864868164,31511700,5.11,89.2300033569336,113419.0,53.96073532104492
2023-10-04,11.562505722045898,15774100,5.1526,84.22000122070312,113607.0,53.16086196899414
2023-10-05,11.282414436340332,31497000,5.1713,82.30999755859375,113284.0,53.53003692626953
2023-10-06,11.545000076293945,40211800,5.1918,82.79000091552734,114170.0,54.496917724609375
2023-10-09,11.527493476867676,15459500,5.1666,86.37999725341797,115156.0,53.872840881347656
2023-10-10,11.597517013549805,18408800,5.0862,85.97000122070312,116737.0,54.9539909362793
