Date,Close_SBSP3,Volume_SBSP3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2021-08-02,32.43655776977539,2573800,5.1379,71.26000213623047,122516.0,60.64411926269531
2021-08-03,32.48183822631836,1831300,5.2464,70.55999755859375,123577.0,62.09596252441406
2021-08-04,32.038124084472656,1718700,5.2091,68.1500015258789,121801.0,61.49855041503906
2021-08-05,31.395185470581055,2469300,5.1464,69.08999633789062,121633.0,58.86577606201172
2021-08-06,32.16489791870117,3026900,5.241,68.27999877929688,122810.0,59.02553939819336
2021-08-09,32.282615661621094,1852900,5.2774,66.4800033569336,123019.0,59.44234085083008
2021-08-10,31.531015396118164,2263200,5.2217,68.29000091552734,122202.0,60.39404296875
2021-08-11,31.630624771118164,2571400,5.2013,69.25,122056.0,59.810516357421875
2021-08-12,31.195968627929688,1606100,5.2351,69.08999633789062,120701.0,58.82221984863281
2021-08-13,30.417198181152344,3381200,5.2474,68.44000244140625,121194.0,59.0302848815918
2021-08-16,30.770362854003906,2198500,5.2495,67.29000091552734,119180.0,57.9825439453125
2021-08-17,29.74709701538086,3070000,5.2585,66.58999633789062,117904.0,57.09084701538086
2021-08-18,28.69666862487793,5568300,5.3025,65.45999908447266,116643.0,55.08452606201172
2021-08-19,29.855764389038086,6563100,5.418,63.689998626708984,117165.0,53.81386184692383
2021-08-20,33.09761047363281,15471900,5.4274,62.31999969482422,118053.0,53.888160705566406
2021-08-23,32.75349807739258,6783300,5.3686,65.63999938964844,117472.0,54.244850158691406
2021-08-24,32.87122344970703,2804900,5.3017,67.54000091552734,120211.0,55.797889709472656
2021-08-25,32.78972244262695,2144200,5.2465,68.36000061035156,120818.0,56.02824783325195
2021-08-26,32.608612060546875,3185700,5.2429,67.41999816894531,118724.0,55.00278854370117
2021-08-27,33.523216247558594,4379300,5.22,68.73999786376953,120678.0,56.3477668762207
2021-08-30,33.19721984863281,1441700,5.1952,69.20999908447266,119740.0,56.518672943115234
2021-08-31,32.717281341552734,5890500,5.1433,68.5,118781.0,55.78302764892578
2021-09-01,33.01610565185547,2497300,5.1576,68.58999633789062,119396.0,55.66413497924805
2021-09-02,33.043277740478516,2806400,5.1735,69.98999786376953,116677.0,55.939064025878906
2021-09-03,32.23733901977539,6386200,5.1685,69.29000091552734,116933.0,56.37749481201172
2021-09-08,30.462478637695312,4949000,5.2524,69.30000305175781,113413.0,54.6535530090332
2021-09-09,31.042024612426758,3643000,5.2825,68.13999938964844,115361.0,53.546356201171875
2021-09-10,30.7794189453125,2283600,5.2158,69.72000122070312,114286.0,54.378597259521484
