Date,Close_VALE3,Volume_VALE3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2016-09-01,9.073966026306152,5304600,3.2472,43.15999984741211,58236.0,15.173535346984863
2016-09-02,9.490202903747559,6874100,3.2431,44.439998626708984,59616.0,15.346074104309082
2016-09-06,9.505810737609863,5138000,3.2452,44.83000183105469,60129.0,15.567910194396973
2016-09-08,9.25606918334961,8065300,3.1934,47.619998931884766,60232.0,15.51368236541748
2016-09-09,8.772193908691406,5791800,3.2638,45.880001068115234,58000.0,15.153817176818848
2016-09-12,9.099980354309082,7225300,3.2854,46.290000915527344,58586.0,15.341143608093262
2016-09-13,8.465219497680664,8066000,3.2972,44.900001525878906,56821.0,14.690425872802734
2016-09-14,8.65772819519043,3641700,3.3262,43.58000183105469,57059.0,14.946769714355469
2016-09-15,8.65772819519043,2252200,3.3326,43.90999984741211,57909.0,15.030574798583984
2016-09-16,8.538060188293457,5283500,3.3004,43.029998779296875,57080.0,14.739721298217773
2016-09-19,8.668133735656738,3279600,3.2636,43.29999923706055,57350.0,15.183395385742188
2016-09-20,8.688944816589355,3364300,3.254,43.439998626708984,57736.0,15.237621307373047
2016-09-21,9.183226585388184,7617300,3.2408,45.34000015258789,58394.0,15.794673919677734
2016-09-22,9.131197929382324,5386000,3.2015,46.31999969482422,58994.0,16.031301498413086
2016-09-23,9.183226585388184,4769800,3.2242,44.47999954223633,58697.0,15.977072715759277
2016-09-26,9.073966026306152,2331200,3.24,45.93000030517578,58054.0,15.858759880065918
2016-09-27,9.157212257385254,3173900,3.2358,44.66999816894531,58382.0,15.888340950012207
2016-09-28,9.464187622070312,4951800,3.2476,47.04999923706055,59356.0,16.632719039916992
2016-09-29,9.360128402709961,4395100,3.2235,47.83000183105469,58351.0,16.61300277709961
2016-09-30,9.266472816467285,4534600,3.2462,48.2400016784668,58367.0,16.465110778808594
2016-10-03,9.417360305786133,3689100,3.2338,48.810001373291016,59461.0,16.543987274169922
2016-10-04,9.183226585388184,5321900,3.2203,48.689998626708984,59339.0,16.31722068786621
2016-10-05,9.292490005493164,3221600,3.2359,49.83000183105469,60254.0,16.62285804748535
2016-10-06,9.261271476745605,4178300,3.231,50.439998626708984,60644.0,16.356658935546875
2016-10-07,9.365331649780273,10040900,3.2134,49.810001373291016,61109.0,16.3467960357666
2016-10-11,9.677508354187012,9733500,3.2136,50.790000915527344,61022.0,16.06087875366211
2016-10-13,9.235255241394043,18453000,3.2087,50.439998626708984,61119.0,15.681294441223145
2016-10-14,9.375734329223633,6890600,3.1864,50.349998474121094,61767.0,15.661574363708496
2016-10-17,9.490202903747559,5163600,3.1963,49.939998626708984,62696.0,15.681294441223145
2016-10-18,9.765958786010742,9581100,3.1874,50.290000915527344,63782.0,16.046091079711914
2016-10-19,9.68791389465332,4573100,3.18,51.599998474121094,63506.0,16.080598831176758
2016-10-20,9.93765640258789,9474800,3.1605,50.43000030517578,63838.0,15.982000350952148
2016-10-21,10.359097480773926,16069400,3.1593,50.849998474121094,64108.0,16.20383644104004
2016-10-24,10.562012672424316,7251300,3.1311,50.52000045776367,64060.0,16.32707977294922
2016-10-25,11.108325004577637,11607500,3.1193,49.959999084472656,63866.0,16.820045471191406
2016-10-26,11.3268461227417,10290600,3.1219,49.18000030517578,63826.0,16.864416122436523
2016-10-27,11.446514129638672,10148800,3.1429,49.720001220703125,64250.0,16.87920379638672
2016-10-28,11.519356727600098,9967500,3.1815,48.70000076293945,64308.0,17.02216339111328
2016-10-31,11.488142967224121,6545600,3.1811,46.86000061035156,64925.0,17.179912567138672
2016-11-01,11.602603912353516,7503800,3.2053,46.66999816894531,63326.0,17.096107482910156
2016-11-03,11.425704002380371,8953400,3.231,44.65999984741211,61750.0,17.036951065063477
2016-11-04,11.243599891662598,7433500,3.2449,44.06999969482422,61598.0,16.726383209228516
2016-11-07,12.03445053100586,5148700,3.2024,44.88999938964844,64052.0,17.391889572143555
2016-11-08,12.471500396728516,4850600,3.2024,44.97999954223633,64158.0,17.608797073364258
2016-11-09,13.007406234741211,13530400,3.2258,45.27000045776367,63258.0,18.85107421875
2016-11-10,13.98035717010498,10367700,3.3104,44.65999984741211,61201.0,19.368690490722656
2016-11-14,13.767036437988281,7093100,3.4446,43.31999969482422,59657.0,19.546157836914062
2016-11-16,13.085445404052734,7501900,3.4183,45.56999969482422,60759.0,18.417259216308594
2016-11-17,12.872126579284668,8337800,3.4052,45.41999816894531,59770.0,18.51585578918457
2016-11-18,12.78367805480957,6893800,3.3917,45.689998626708984,59962.0,18.017955780029297
2016-11-21,13.439250946044922,6291900,3.3517,47.4900016784668,61070.0,18.4912052154541
2016-11-22,14.448623657226562,7431700,3.3476,48.029998779296875,61954.0,19.225727081298828
2016-11-23,14.656744956970215,6486000,3.3927,47.959999084472656,61986.0,19.417985916137695
2016-11-25,15.036561012268066,6218900,3.4279,46.060001373291016,61559.0,19.398265838623047
2016-11-28,16.134384155273438,8817900,3.3996,47.08000183105469,62855.0,19.44756507873535
2016-11-29,15.182246208190918,9459400,3.406,45.22999954223633,60987.0,18.900367736816406
2016-11-30,14.599513053894043,14907900,3.3967,49.439998626708984,61906.0,18.68839454650879
2016-12-01,14.81283187866211,11799200,3.4362,51.060001373291016,59507.0,18.905296325683594
2016-12-02,15.433680534362793,9537100,3.465,51.68000030517578,60316.0,19.23558807373047
2016-12-05,15.491250038146973,4397400,3.4598,51.790000915527344,59832.0,19.46728515625
2016-12-06,15.700592041015625,4878800,3.4354,50.93000030517578,61088.0,19.348968505859375
