Date,Close_ITUB4,Volume_ITUB4,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2012-08-01,7.479252815246582,19306793,2.0432,88.91000366210938,55623.0,18.95659065246582
2012-08-02,7.349900722503662,21182393,2.0475,87.12999725341797,55520.0,18.410783767700195
2012-08-03,7.572274208068848,20751904,2.0313,91.4000015258789,57255.0,19.384273529052734
2012-08-06,7.743143081665039,19711676,2.0279,92.19999694824219,58345.0,19.75900650024414
2012-08-07,7.743143081665039,0,2.0281,93.66999816894531,57726.0,19.881200790405273
2012-08-08,7.743143081665039,0,2.0273,93.3499984741211,58951.0,20.431079864501953
2012-08-09,7.914023399353027,16332504,2.0182,93.36000061035156,58797.0,20.541057586669922
2012-08-10,8.000625610351562,16332504,2.0175,92.87000274658203,59281.0,20.651031494140625
2012-08-13,7.94679069519043,13937997,2.0266,92.7300033569336,59123.0,20.50847053527832
2012-08-14,7.94679069519043,0,2.0258,93.43000030517578,58083.0,20.312957763671875
2012-08-15,7.94679069519043,0,2.0234,94.33000183105469,58189.0,19.720239639282227
2012-08-16,7.94679069519043,0,2.0214,95.5999984741211,59446.0,19.951702117919922
2012-08-17,7.94679069519043,0,2.0182,96.01000213623047,59082.0,19.641706466674805
2012-08-20,8.040417671203613,12689771,2.0209,95.97000122070312,59283.0,19.600366592407227
2012-08-21,7.993598937988281,23336289,2.0173,96.68000030517578,58918.0,19.691303253173828
2012-08-22,8.024036407470703,18230570,2.021,97.26000213623047,59381.0,19.62103271484375
2012-08-23,7.970200061798096,18562979,2.0241,96.2699966430664,58512.0,19.240768432617188
2012-08-24,7.96083402633667,13771309,2.0255,96.1500015258789,58426.0,19.038230895996094
2012-08-27,7.8414530754089355,23745278,2.0293,95.47000122070312,58111.0,18.76956558227539
2012-08-28,7.8414530754089355,12349632,2.0433,96.33000183105469,58406.0,18.653831481933594
2012-08-29,7.651858806610107,19911701,2.0509,95.48999786376953,57369.0,18.128896713256836
2012-08-30,7.607383728027344,16418505,2.0513,94.62000274658203,57256.0,17.773426055908203
2012-08-31,7.42012357711792,31799681,2.0372,96.47000122070312,57061.0,18.116493225097656
2012-09-04,7.3533806800842285,18146501,2.0392,95.30000305175781,56234.0,17.839563369750977
2012-09-05,7.376796245574951,17836559,2.0385,95.36000061035156,56864.0,17.918094635009766
2012-09-06,7.587563991546631,24272157,2.0381,95.52999877929688,58321.0,18.83156394958496
2012-09-10,7.632061958312988,22620981,2.0241,96.54000091552734,58404.0,19.988901138305664
2012-09-11,7.71402645111084,16210024,2.0197,97.16999816894531,59423.0,20.38983917236328
2012-09-12,7.917766094207764,21012082,2.0204,97.01000213623047,59922.0,20.5551700592041
2012-09-13,8.079353332519531,26376288,2.0254,98.30999755859375,61958.0,21.19171142578125
2012-09-14,8.17302417755127,31203228,2.0139,99.0,62105.0,21.98118019104004
2012-09-17,8.079353332519531,28928061,2.0312,96.62000274658203,61806.0,21.361177444458008
2012-09-18,7.887322425842285,24068991,2.0274,95.29000091552734,61804.0,21.514108657836914
2012-09-19,7.892002105712891,22903384,2.0236,91.9800033569336,61652.0,21.253707885742188
2012-09-20,7.833458423614502,17561645,2.0263,91.87000274658203,61688.0,20.803176879882812
2012-09-21,7.877950668334961,21616506,2.024,92.88999938964844,61320.0,20.42704200744629
2012-09-24,7.906054973602295,22809411,2.0273,91.93000030517578,61910.0,19.926902770996094
2012-09-25,7.430661678314209,66185680,2.0251,91.37000274658203,60501.0,19.393695831298828
2012-09-26,7.470472812652588,35407867,2.0341,89.9800033569336,60478.0,19.265567779541016
2012-09-27,7.376796245574951,30953680,2.0311,91.8499984741211,60240.0,19.60450553894043
2012-09-28,7.159004211425781,42366961,2.0306,92.19000244140625,59176.0,19.32756805419922
2012-10-01,7.274983882904053,23706143,2.026,92.4800033569336,59571.0,19.46396255493164
2012-10-02,7.239846706390381,15215212,2.0266,91.88999938964844,59222.0,19.5177059173584
2012-10-03,7.146124362945557,14328143,2.0266,88.13999938964844,58627.0,19.348234176635742
2012-10-04,7.157830715179443,14345295,2.0224,91.70999908447266,58458.0,19.670635223388672
2012-10-05,7.214068412780762,20496799,2.0246,89.87999725341797,58572.0,19.765703201293945
2012-10-08,7.230470657348633,17577347,2.0313,89.33000183105469,59317.0,19.91037368774414
2012-10-09,7.052404403686523,21714345,2.0337,92.38999938964844,58939.0,19.968236923217773
2012-10-10,6.888395309448242,16045511,2.0378,91.25,58456.0,19.939308166503906
