Date,Close_BBDC4,Volume_BBDC4,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2016-09-01,9.36928653717041,23760691,3.2472,43.15999984741211,58236.0,15.173535346984863
2016-09-02,9.642690658569336,22081638,3.2431,44.439998626708984,59616.0,15.346074104309082
2016-09-06,9.776299476623535,12818242,3.2452,44.83000183105469,60129.0,15.567910194396973
2016-09-08,9.90665054321289,26499009,3.1934,47.619998931884766,60232.0,15.51368236541748
2016-09-09,9.359176635742188,25256339,3.2638,45.880001068115234,58000.0,15.153817176818848
2016-09-12,9.391768455505371,21173117,3.2854,46.290000915527344,58586.0,15.341143608093262
2016-09-13,9.000711441040039,31728657,3.2972,44.900001525878906,56821.0,14.690425872802734
2016-09-14,9.075667381286621,21088662,3.3262,43.58000183105469,57059.0,14.946769714355469
2016-09-15,9.323331832885742,21344153,3.3326,43.90999984741211,57909.0,15.030574798583984
2016-09-16,9.153875350952148,29287188,3.3004,43.029998779296875,57080.0,14.739721298217773
2016-09-19,9.202754974365234,15799876,3.2636,43.29999923706055,57350.0,15.183395385742188
2016-09-20,9.303777694702148,14812118,3.254,43.439998626708984,57736.0,15.237621307373047
2016-09-21,9.486265182495117,27672877,3.2408,45.34000015258789,58394.0,15.794673919677734
2016-09-22,9.6687593460083,16932580,3.2015,46.31999969482422,58994.0,16.031301498413086
2016-09-23,9.688313484191895,18691063,3.2242,44.47999954223633,58697.0,15.977072715759277
2016-09-26,9.567740440368652,8892720,3.24,45.93000030517578,58054.0,15.858759880065918
2016-09-27,9.766523361206055,23310199,3.2358,44.66999816894531,58382.0,15.888340950012207
2016-09-28,9.825180053710938,18221052,3.2476,47.04999923706055,59356.0,16.632719039916992
2016-09-29,9.662242889404297,21240951,3.2235,47.83000183105469,58351.0,16.61300277709961
2016-09-30,9.6687593460083,18724884,3.2462,48.2400016784668,58367.0,16.465110778808594
2016-10-03,9.917866706848145,17791046,3.2338,48.810001373291016,59461.0,16.543987274169922
2016-10-04,10.06077766418457,41553670,3.2203,48.689998626708984,59339.0,16.31722068786621
