Date,Close_BBAS3,Volume_BBAS3,Close_Dolar,Close_Petroleo,Close_Ibovespa,Close_Minerio
2012-08-01,4.924698352813721,13634200,2.0432,88.91000366210938,55623.0,18.95659065246582
2012-08-02,4.900294780731201,14403600,2.0475,87.12999725341797,55520.0,18.410783767700195
2012-08-03,5.128783226013184,17023200,2.0313,91.4000015258789,57255.0,19.384273529052734
2012-08-06,5.286286354064941,13806000,2.0279,92.19999694824219,58345.0,19.75900650024414
2012-08-07,5.224172592163086,15392400,2.0281,93.66999816894531,57726.0,19.881200790405273
2012-08-08,5.297375202178955,16804000,2.0273,93.3499984741211,58951.0,20.431079864501953
2012-08-09,5.18867826461792,9701600,2.0182,93.36000061035156,58797.0,20.541057586669922
2012-08-10,5.363925933837891,9701600,2.0175,92.87000274658203,59281.0,20.651031494140625
2012-08-13,5.197549819946289,16115400,2.0266,92.7300033569336,59123.0,20.50847053527832
2012-08-14,4.984592437744141,22945800,2.0258,93.43000030517578,58083.0,20.312957763671875
2012-08-15,5.135438442230225,22071200,2.0234,94.33000183105469,58189.0,19.720239639282227
2012-08-16,5.224172592163086,13126200,2.0214,95.5999984741211,59446.0,19.951702117919922
2012-08-17,5.237481594085693,9091400,2.0182,96.01000213623047,59082.0,19.641706466674805
2012-08-20,5.18424129486084,7339200,2.0209,95.97000122070312,59283.0,19.600366592407227
2012-08-21,5.168712615966797,15207000,2.0173,96.68000030517578,58918.0,19.691303253173828
2012-08-22,5.229836463928223,10950200,2.021,97.26000213623047,59381.0,19.62103271484375
2012-08-23,5.154009819030762,9137200,2.0241,96.2699966430664,58512.0,19.240768432617188
2012-08-24,5.133937358856201,9975000,2.0255,96.1500015258789,58426.0,19.038230895996094
2012-08-27,5.249909400939941,11693200,2.0293,95.47000122070312,58111.0,18.76956558227539
2012-08-28,5.365878105163574,17170400,2.0433,96.33000183105469,58406.0,18.653831481933594
2012-08-29,5.276668548583984,14432800,2.0509,95.48999786376953,57369.0,18.128896713256836
2012-08-30,5.216455459594727,8607000,2.0513,94.62000274658203,57256.0,17.773426055908203
2012-08-31,5.169620990753174,13916000,2.0372,96.47000122070312,57061.0,18.116493225097656
2012-09-04,5.216455459594727,7100600,2.0392,95.30000305175781,56234.0,17.839563369750977
